id;given_name;mid_name;surname;ssn;gender;address;birth_date;phone_num;salary;hire_date;role;dep_id;sup_id
1;Anand;;Byamba;1234567890;M;123 Main St;2003-07-24;555-1234;0.0;2019-07-25;Chairman;;
2;Elon;Reeve;Musk;2234567890;M;456 Oak Ave;1971-06-28;555-5678;0.0;2020-07-15;CEO;;1
3;Dias;;Bakytbek;2642482462;M;789 Barys St;2003-03-07;555-2736;200000.0;2020-01-01;CTO;1;2
4;Nasa;;Otgoo;7862424624;F;463 Khunnu St;2002-02-26;555-2647;180000.0;2019-08-11;CSO;5;2
5;Jamie;;Dimon;4990627849;M;58 S Main St;1956-03-13;555-8237;180000.0;2019-07-26;CFO;2;2
6;Sundar;;Pichai;5190598362;M;101 Tech Park;1972-06-10;555-9000;190000.0;2015-08-10;COO;1;3
7;Mary;;Barra;6842061547;F;77 Executive Blvd;1961-12-24;555-3355;210000.0;2014-04-01;CMO;4;2
8;Peter;;Fisher;7490875490;M;7593 Juan Throughway Apt. 948;2000-05-28;(411)578-1565;164070.21;2018-12-04;Manager;4;7
9;Mr.;Sean;Green;1060308648;M;097 Sanchez Islands Apt. 393;1975-09-07;(871)158-7148;88193.13;2020-05-25;Analyst;2;1
10;Kimberly;;Olsen;3320500417;F;1965 Kelly Field Apt. 094;1991-11-16;122-018-6848;143152.99;2019-06-15;Engineer;1;4
11;Stephanie;;Lawrence;9374176372;F;7515 Tom Roads Suite 330;1977-11-21;352-560-1230;183016.67;2025-03-17;Specialist;5;3
12;Taylor;;Guzman;1317814271;F;399 Peter Land;1967-05-06;9032173008;96069.18;2022-09-08;Designer;4;3
13;Russell;;Jones;9899050639;M;6208 Williams Courts Suite 345;1991-06-12;001-230-225-8419;125302.04;2022-12-21;Engineer;1;4
14;Adam;;Maldonado;9235647582;M;4280 Harmon Isle Apt. 842;1975-10-15;001-759-459-9246;87105.81;2021-02-18;Engineer;1;5
15;Courtney;;West;9051077895;F;9602 Brown Squares;1970-03-06;878.900.7547;52922.39;2024-10-11;Developer;2;3
16;Miss;Angela;DVM;8209167051;F;30089 James Rest Apt. 442;1966-04-07;610.471.4285;144478.59;2016-03-01;Specialist;1;6
17;Michael;;Grant;9360164824;M;977 Watson Plain;1971-07-31;694.022.4555;151655.29;2017-01-15;Developer;1;6
18;Lisa;;Williams;1703775687;F;6824 Timothy Garden Apt. 428;1964-04-08;654-611-8775;170913.47;2023-11-30;Engineer;1;1
19;Eric;;Navarro;4841417822;M;961 Lindsey Flat;1974-06-28;6016884779;148759.06;2019-02-21;Manager;1;2
20;Jacob;;Hinton;4337619763;M;51108 Goodwin Flats Apt. 764;1973-07-19;+1-039-213-7658;138357.9;2017-12-21;Developer;1;6
